parType,ParasiteCorrectedBinomial,nOcc,nHosts,specificity,nOccurRange,areaKm,wosOct2015,wosFeb2015,status,maxAllHostRS,maxOneHostRS,phylodivNew,maxphyloNew,Zoonotic,HumanEmerging,Domesticated,close,sexual,vertical,closenonsexual,nonclose,environmental,soil,water,feces,vector,intermediate,no. traits,trait flag,REF - AG 2017,REF type,doi,Notes (Alyssa Gehman)
Helminth,Haemonchus contortus,34,123,G,104,32605499.55,14364,3943,tsp,154880926.7,28012634.55,719.7,170.6,1,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp 400,Textbook,,Lifecycle pattern similar for whole superfamily
Helminth,Haemonchus horaki,1,1,S,NA,NA,,1,ung,557110.4041,557110.4041,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp 400,Textbook,,Lifecycle pattern similar for whole superfamily
Helminth,Haemonchus krugeri,2,14,G,NA,NA,,0,ung,7533421.852,4047879.178,43.6,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp 400,Textbook,,Lifecycle pattern similar for whole superfamily
Helminth,Haemonchus mitchelli,8,9,G,NA,NA,,1,ung,29829928.78,8442938.751,188.6,53.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp 400,Textbook,,Lifecycle pattern similar for whole superfamily
Helminth,Haemonchus placei,9,10,G,NA,NA,,130,tsp,48170529.04,15261022.82,207,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp 400,Textbook,,Lifecycle pattern similar for whole superfamily
Helminth,Haemonchus vegliai,6,34,G,34,855127.9937,18,2,ung,36771340.55,13575937.13,130.6,53,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp 400,Textbook,,Lifecycle pattern similar for whole superfamily
Helminth,Heterobilharzia americana,1,5,G,NA,NA,,47,tsp,14410477.61,14410477.61,NA,NA,1,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Corapi et al. 2015. Veterinary Pathology.,Article,10.1177/0300985814540541,
Helminth,Hyostrongylus rubidus,1,5,G,NA,NA,,92,tsp,1252181.817,1252181.817,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 95",Textbook,,
Helminth,Impalaia tuberculata,20,52,G,52,5011815.575,31,3,ung,85040683.82,13575937.13,461.4,131.2,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 95",Textbook,,
Helminth,Kiluluma goodeyi,1,1,S,NA,NA,,1,ung,6697308.45,6697308.45,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 66",Textbook,,family level life cycle - suggest acceptable in Anderson
Helminth,Kiluluma magna,1,1,S,NA,NA,,1,ung,6697308.45,6697308.45,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 66",Textbook,,family level life cycle - suggest acceptable in Anderson
Helminth,Kiluluma rhinocerotis,2,3,G,NA,NA,,0,ung,12092626.34,6697308.45,30.6,30.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 66",Textbook,,family level life cycle - suggest acceptable in Anderson
Bacteria,Klebsiella pneumoniae,3,3,G,NA,NA,,14928,tsp,17826816.12,9582710.449,79.9,53.4,1,1,,1,1,1,0,1,1,1,1,0,0,0,7,no,Rettedal et al. 2012. Acta Pathologica Microbiologica. ,Article,10.1111/j.1600-0463.2012.02879.x,"Addition citation for environmental samples Reed DL, Currier RW, Walton SF, et al. The evolution of infectious agents in relation to sex in animals and humans: brief discussions of some individual organisms. Annals of the New York Academy of Sciences. 2011;1230:74-107. doi:10.1111/j.1749-6632.2011.06133.x."
Virus,Lentivirus Caprine arthritis encephalitis virus,2,25,G,25,983034.1574,,4,ung,6845689.466,6307636.164,53.4,53.4,,,,1,0,1,1,0,0,0,0,0,0,0,3,no,"Gjerset, Jonassen and Rimstad. 2007. Virus Research.",Article,10.1016/j.virusres.2006.12.014,
Virus,Lentivirus Visna/maedi virus,6,7,G,NA,NA,,3,tsp,56237504.77,28012634.55,205.8,131.2,,,,1,0,1,1,0,0,0,0,0,0,0,3,no,"Michel P«epin, Christian Vitu, Pierre Russo, Jean-Franücois Mornex, Ernst Peterhans. Maedivisna virus infection in sheep: a review. Veterinary Research, BioMed Central, 1998, 29 (3-4), pp.341-367",Article,,
Arthropod,Linguatula arctica,1,6,G,NA,NA,,2,NA,18168072.93,18168072.93,NA,NA,,,,0,0,0,0,1,1,0,0,0,0,0,2,no,"Haurgerud, Nilssen and Rognmo. 1993. Rangifer.",Article,10.7557/2.13.3.1107,
Arthropod,Linguatula nuttalli,2,2,G,NA,NA,,0,NA,3879066.042,3102967.9,131.2,131.2,0,,,0,0,0,0,1,1,0,0,0,0,1,3,no,Boomker. Helminth infections of wildlife. 2007.  Licensed under a Creative Commons Attribution license.,Online Reference,http://www.afrivip.org/sites/default/files/02_helminths_wildlife_complete_1.pdf,"Also substantiated in Soulsby. Helminths, Arthropods and Protozoa of Domestic Animals. 1968"
Helminth,Longistrongylus albifrontis,2,2,G,NA,NA,,0,ung,2994852.946,1950024.369,43.6,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 66",Textbook,,family level life cycle - suggest acceptable in Anderson
Helminth,Longistrongylus curvispiculum,12,16,G,NA,NA,,3,ung,39835661.05,8442938.751,230.9,53,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 66",Textbook,,family level life cycle - suggest acceptable in Anderson
Helminth,Longistrongylus meyeri,2,2,G,NA,NA,,2,ung,5813844.712,4047879.178,43.6,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 66",Textbook,,family level life cycle - suggest acceptable in Anderson
Helminth,Longistrongylus namaquensis,4,5,G,NA,NA,,0,ung,3947494.537,1950024.369,85.1,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 66",Textbook,,family level life cycle - suggest acceptable in Anderson
Helminth,Longistrongylus sabie,6,23,G,23,282888.2534,18,2,ung,25015525.14,13575937.13,113.6,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 66",Textbook,,family level life cycle - suggest acceptable in Anderson
Helminth,Longistrongylus schrenki,8,21,G,NA,NA,,2,ung,23439685.98,7496702.277,156.9,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 66",Textbook,,family level life cycle - suggest acceptable in Anderson
Helminth,Marshallagia marshalli,10,36,G,21,7735115.204,128,41,tsp,47765706.13,18168072.93,165.4,53.4,1,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Carlsson et al. International Journal for Parasitology. 2012.,Article,10.1016/j.ijpara.2012.05.007,
Helminth,Marshallagia occidentalis,7,23,G,NA,NA,,2,ung,44778723.26,18168072.93,123,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Borji, Raji and Naghibi. 2011. Parasitology Research.",Article,10.1007/s00436-010-2186-2,"synonym with Ostertagia occidentalis - 2001 genetics says conspecific with M. marshalli, but 2011 morphology claims separate species."
Helminth,Mazamastrongylus odocoilei,1,1,S,NA,NA,,5,ung,14410477.61,14410477.61,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Belem et al. Journal of Wildlife Diseases. 1993. ,Article,,
Helminth,Mazamastrongylus pursglovei,1,1,S,NA,NA,,5,ung,15261022.82,15261022.82,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Belem et al. Journal of Wildlife Diseases. 1993. ,Article,,
Helminth,Megacooperia woodfordi,1,2,G,NA,NA,,1,ung,1362640.139,1362640.139,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Boomker. Helminth infections of wildlife. 2007.  Licensed under a Creative Commons Attribution license.,Online Reference,,
Helminth,Monodontus louisianensis,1,1,S,NA,NA,,1,ung,14410477.61,14410477.61,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Hoberg, Kocan and Rickard. 2001. Parasitic diseases of wild mammals.",Textbook,,"However, specific lifecycle not described."
Helminth,Murshidia hamata,1,12,G,NA,NA,,0,ung,776098.1421,776098.1421,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 62",Textbook,,family level life cycle - suggest acceptable in Anderson
Helminth,Murshidia pugnicaudata,1,8,G,NA,NA,,0,ung,776098.1421,776098.1421,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 62",Textbook,,family level life cycle - suggest acceptable in Anderson
Bacteria,Mycoplasma conjunctivae,5,38,G,26,102370.5403,244,72,tsp,4592639.167,3743494.344,53.8,30,0,,,1,0,0,1,0,0,0,0,0,0,0,2,no,Ryser-Degiorgis et al. Veterinary Microbiology. 2009.,Article,10.1016/j.vetmic.2008.08.005,
Bacteria,Mycoplasma hyopneumoniae,1,1,S,NA,NA,,971,ung,28012634.55,28012634.55,NA,NA,0,,,1,0,0,1,0,0,0,0,0,0,0,2,no,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 224",Textbook,,
Bacteria,Mycoplasma ovipneumoniae,2,7,G,NA,NA,,86,tsp,1354192.637,816139.3341,6.8,6.8,0,,,1,0,0,1,0,0,0,0,0,0,0,2,no,"Alley, Ionas and Clarke. New Zealand Veterinary Journal. 1999.",Article,10.1080/00480169.1999.36135,
Virus,Nairovirus Crimean-Congo hemorrhagic fever virus,30,30,G,NA,NA,,1,tsp,124372404.4,13575937.13,767.9,170.6,1,,,1,0,0,1,0,0,0,0,0,1,0,3,no,"Spengler JR, Bergeron ƒ, Rollin PE. Seroepidemiological Studies of Crimean-Congo Hemorrhagic Fever Virus in Domestic and Wild Animals. Clements ACA, ed.ÊPLoS Neglected Tropical Diseases. 2016;10(1):e0004210. doi:10.1371/journal.pntd.0004210.",Article,10.1371/journal.pntd.0004210.,
Helminth,Nematodirella alcidis,2,2,G,NA,NA,,1,ung,7969456.783,7963741.77,53.4,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,subfamily life cycle
Helminth,Nematodirella antilocaprae,NA,NA,G,NA,NA,,0,ung,NA,NA,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,subfamily life cycle
Helminth,Nematodirella longissimespiculata,3,7,G,NA,NA,,0,ung,20617002.49,18168072.93,75.2,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,subfamily life cycle
Helminth,Nematodirus abnormalis,7,17,G,NA,NA,,4,tsp,40186587.46,15261022.82,128.7,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus andersoni,NA,NA,G,NA,NA,,0,ung,NA,NA,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus battus,1,1,S,NA,NA,,133,tsp,280363.9032,280363.9032,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus chabaudi,NA,NA,G,NA,NA,,1,ung,NA,NA,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus davtiani,6,17,G,NA,NA,,2,ung,26610650.33,15261022.82,106.9,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus europaeus,2,13,G,NA,NA,,2,ung,7262600.965,7256885.952,53.4,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus filicollis,7,19,G,NA,NA,,31,tsp,30194036.45,15261022.82,108.1,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus helvetianus,10,16,G,NA,NA,,70,tsp,52850611.26,18168072.93,187.5,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus hugonnetae,1,1,S,NA,NA,,0,ung,280363.9032,280363.9032,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus ibicus,NA,NA,G,NA,NA,,0,ung,NA,NA,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus odocoilei,4,8,G,NA,NA,,3,ung,42905464.77,18168072.93,50.4,35.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus oiratianus,5,8,G,NA,NA,,3,ung,23617376.42,15261022.82,107.9,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus roscidus,1,2,G,NA,NA,,7,ung,5715.013147,5715.013147,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus rupicaprae,2,8,G,NA,NA,,1,ung,7537249.855,7256885.952,53.4,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus spathiger,14,34,G,24,10534347,304,76,tsp,45052294.13,13575937.13,278.6,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Nematodirus tarandi,1,12,G,NA,NA,,0,ung,18168072.93,18168072.93,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 118",Textbook,,
Helminth,Neorhabditostomum yeni,1,1,S,NA,NA,,1,ung,7462188.667,7462188.667,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Oesophagostomum africanum,1,3,G,NA,NA,,0,ung,1950024.369,1950024.369,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 68",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Oesophagostomum columbianum,7,26,G,26,168490.2371,425,83,tsp,33790674.91,8949676.168,135.8,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 68",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Oesophagostomum dentatum,2,6,G,NA,NA,,222,tsp,30373717.95,28012634.55,131.2,131.2,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 68",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Oesophagostomum mocambiquei,1,3,G,NA,NA,,1,ung,776098.1421,776098.1421,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 68",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Oesophagostomum mwanzae,1,7,G,NA,NA,,0,ung,776098.1421,776098.1421,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 68",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Oesophagostomum ostertagi,2,2,G,NA,NA,,0,ung,30373717.95,28012634.55,131.2,131.2,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 68",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Oesophagostomum quadrispinulatum,2,3,G,NA,NA,,36,tsp,30373717.95,28012634.55,131.2,131.2,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 68",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Oesophagostomum radiatum,5,5,G,NA,NA,,123,tsp,42723683.58,28012634.55,205.7,131.2,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 68",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Oesophagostomum sikae,NA,NA,G,NA,NA,,2,NA,NA,NA,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 68",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Oesophagostomum venulosum,8,29,G,29,64446587.22,272,52,tsp,51903771.23,15261022.82,136.5,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 68",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Virus,Orbivirus Bunyip creek virus,1,1,S,NA,NA,,0,ung,15261022.82,15261022.82,NA,NA,,,,1,0,1,0,0,0,0,0,0,1,0,3,yes,Drolet et al. Vector-Borne and Zoonotic Diseases,Article,10.1089/vbz.2014.1701,"Palyam virus.  This review specifies that we do not have good information on vertical transmission for orbiviruses in general.  They are all vector transmitted, although data aren't strong there either"
Virus,Orbivirus D'Aguilar virus,1,1,S,NA,NA,,0,NA,15261022.82,15261022.82,NA,NA,,,,1,0,1,0,0,0,0,0,0,1,0,3,yes,Drolet et al. Vector-Borne and Zoonotic Diseases,Article,10.1089/vbz.2014.1702,"Palyam virus.  This review specifies that we do not have good information on vertical transmission for orbiviruses in general.  They are all vector transmitted, although data aren't strong there either"
Virus,Orbivirus Marrakai virus,1,1,S,NA,NA,,0,ung,15261022.82,15261022.82,NA,NA,,,,1,0,1,0,0,0,0,0,0,1,0,3,yes,Drolet et al. Vector-Borne and Zoonotic Diseases,Article,10.1089/vbz.2014.1703,"Palyam virus.  This review specifies that we do not have good information on vertical transmission for orbiviruses in general.  They are all vector transmitted, although data aren't strong there either"
Arthropod,Ornithodoros coriaceus,1,1,S,NA,NA,,39,NA,6307636.164,6307636.164,NA,NA,1,,,0,0,0,0,1,1,1,0,0,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp678,Textbook,,"genus level, text suggests acceptable"
Arthropod,Ornithodoros erraticus,NA,NA,G,NA,NA,,49,NA,NA,NA,NA,NA,,,,0,0,0,0,1,1,1,0,0,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp678,Textbook,,"genus level, text suggests acceptable"
Arthropod,Ornithodoros porcinus,1,4,G,NA,NA,,8,NA,776098.1421,776098.1421,NA,NA,0,,,0,0,0,0,1,1,1,0,0,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp678,Textbook,,"genus level, text suggests acceptable"
Helminth,Orthocoelium scoliocoelium,1,2,G,NA,NA,,6,tsp,2361083.4,2361083.4,NA,NA,,,,0,0,0,0,1,1,0,0,0,0,1,3,no,"Yamaguti, S. Synopsis of Digenetic Trematodes of Vertebrates. 1971. pg 695",Textbook,,family level life cycle - suggest acceptable in yamaguti
Helminth,Orthocoelium streptocoelium,1,1,S,NA,NA,,4,ung,15261022.82,15261022.82,NA,NA,0,,,0,0,0,0,1,1,0,0,0,0,1,3,no,"Yamaguti, S. Synopsis of Digenetic Trematodes of Vertebrates. 1971. pg 696",Textbook,,family level life cycle - suggest acceptable in yamaguti
Helminth,Ostertagia antipini,NA,NA,G,NA,NA,,0,NA,NA,NA,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia arctica,1,14,G,NA,NA,,7,ung,18168072.93,18168072.93,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia dikmansi,1,10,G,NA,NA,,6,ung,14410477.61,14410477.61,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia drozdzi,2,11,G,NA,NA,,3,tsp,19280300.88,15261022.82,25.6,25.6,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia gruehneri,1,30,G,NA,NA,,21,ung,18168072.93,18168072.93,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia hamata,2,4,G,NA,NA,,1,ung,2507134.773,1950024.369,43.6,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia harrisi,3,22,G,22,47274.28748,8,1,ung,13513972.98,12063886.71,70,53,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia kolchida,7,15,G,NA,NA,,10,ung,30582366.03,15261022.82,139.1,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia leptospicularis,8,45,G,41,4905112.43,129,37,tsp,38546107.8,15261022.82,154.1,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia lyrata,7,13,G,NA,NA,,23,tsp,26616365.34,15261022.82,133.4,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia mossi,1,8,G,NA,NA,,7,ung,14410477.61,14410477.61,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia ningshannensis,NA,NA,G,NA,NA,,0,ung,NA,NA,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia ostertagi,15,46,G,44,70943984,1671,923,tsp,62646457.47,15261022.82,265.1,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia pinnata,NA,NA,G,NA,NA,,2,NA,NA,NA,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia trifurcata,9,36,G,24,2057460.846,137,11,tsp,50045212.58,18168072.93,139.4,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Ostertagia triquetra,1,1,S,NA,NA,,1,ung,557110.4041,557110.4041,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 96",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Oxyuris equi,4,5,G,NA,NA,,56,tsp,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 237",Textbook,,"Genus level life cycle, text suggests that is acceptable"
