Ok,Parasite type,Parasite genus,Parasite species,Parasite name,Old name,ParasiteCorrectedBinomial,WOS June_2014,WOS June_2014 Viral Species,Specificity score,Specialist - Generalist,Confidence score,Direct,Indirect,Close,Sexual,Vertical,CloseNonsexual,Non-close,Environment,Soil,Water,Feces,Vector,Intermediate,Notes on Transmission,Notes on Specificity,no. transmission modes,trait flag,REF - AG 2016,REF type,doi,Notes (Alyssa Gehman),
,Arthropod,Felicola,vulpis,Felicola vulpis,Felicola vulpis,Felicola vulpis,1,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
215,Arthropod,Gymnolaelaps,annectans,Gymnolaelaps annectans,Gymnolaelaps annectans,Gymnolaelaps annectans,1,,1,S,6,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
240,Arthropod,Halarachne,halichoeri,Halarachne halichoeri,Halarachne halichoeri,Halarachne halichoeri,2,,3,S,3,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
241,Arthropod,Halarachne,laysanae,Halarachne laysanae,Halarachne laysanae,Halarachne laysanae,0,,4,G,3,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
243,Arthropod,Hemigalichus,chrotogale,Hemigalichus chrotogale,Hemigalichus chrotogale sp. nov,Hemigalichus chrotogale,1,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
248,Arthropod,Hypoaspis,leviculus,Hypoaspis leviculus,Hypoaspis leviculus,Hyoaspis leviculus,0,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
249,Arthropod,Hypoaspis,nidicorva,Hypoaspis nidicorva,Hypoaspis nidicorva,Hypoaspis nidicorva,0,,1,S,6,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
284,Arthropod,Latagophthirus,rauschi,Latagophthirus rauschi,Latagophthirus rauschi,Latagophthirus rauschi,1,,1,S,6,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
288,Arthropod,Lepidophthirus,macrorhini,Lepidophthirus macrorhini,Lepidophthirus macrorhini,Lepidophthirus macrorhini,2,,4,G,3,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
289,Arthropod,Leptotrombidium,peromysci,Leptotrombidium peromysci,Leptotrombidium peromysci,Leptotrombidium peromysci,5,,5,G,3,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
297,Arthropod,Listrophorus,mustelae,Listrophorus mustelae,Listrophorus mustelae,Listrophorus mustelae,0,,1,S,6,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
,Arthropod,Felicola,isidoroi,Felicola isidoroi,Felicola (Lorisicola) isidoroi,Lorisicola isidoroi,3,,1,S,3,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
300,Arthropod,Lutracarus,canadensis,Lutracarus canadensis,Lutracarus canadensis,Lutracarus canadensis,1,,3,S,6,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
329,Arthropod,Lynxacarus,mustelae,Lynxacarus mustelae,Lynxacarus mustelae,Lynxacarus mustelae,1,,3,S,6,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
333,Arthropod,Lynxacarus,nearcticus,Lynxacarus nearcticus,Lynxacarus nearticus Fain & Hyland,Lynxacarus nearticus,0,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
335,Arthropod,Lynxacarus,visoni,Lynxacarus visoni,Lynxacarus visoni,Lynxacarus visoni,0,,1,S,3,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
337,Arthropod,Neotrichodectes,mephitidis,Neotrichodectes mephitidis,Neotrichodectes mephitidis,Neotrichodectes mephitidis,3,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
338,Arthropod,Neotrichodectes,pallidus,Neotrichodectes pallidus,Neotricodectes pallidus,Neotrichodectes pallidus,0,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
339,Arthropod,Neotrombicula,whartoni,Neotrombicula whartoni,Neotrombicula whartoni,Neotrombicula whartoni,2,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
345,Arthropod,Notoedres,cati,Notoedres cati,Notoedres cati,Notoedres cati,36,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
283,Arthropod,Laelaps,multispinosus,Laelaps multispinosus,Laelaps multispinosus,Ondatralaelaps multispinosus,0,,5,G,3,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
360,Arthropod,Ornithonyssus,bacoti,Ornithonyssus bacoti,Ornithonyssus bacoti,Ornithonyssus bacoti,69,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
363,Arthropod,Ornithonyssus,wernecki,Ornithonyssus wernecki,Ornithonyssus wernecki,Ornithonyssus wernecki,3,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
371,Arthropod,Orthohalarachne,attenuata,Orthohalarachne attenuata,Orthohalarachne attenuata,Orthohalarachne attenuata,1,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
372,Arthropod,Orthohalarachne,diminuata,Orthohalarachne diminuata,Orthohalarachne diminuata,Orthohalarachne diminuata,1,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
373,Arthropod,Otodectes,cynotis,Otodectes cynotis,Otodectes cynotis,Otodectes cynotis,79,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
417,Arthropod,Sarcoptes,canis,Sarcoptes canis,Sarcoptes canis,Sarcoptes scabiei,696,,3,S,3,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
424,Arthropod,Scalopacarus,obesus,Scalopacarus obesus,Scalopacarus obesus,Scalopacarus obesus,0,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
435,Arthropod,Trichodectes,canis,Trichodectes canis,Trichodectes canis,Trichodectes canis,27,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
436,Arthropod,Trichodectes,melis,Trichodectes melis,Trichodectes (Trichodectes) melis,Trichodectes melis,4,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
438,Arthropod,Trichodectes,octomaculatus,Trichodectes octomaculatus,Trichodectes octomaculatus,Trichodectes octomaculatus,5,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
439,Arthropod,Trichodectes,pinguis,Trichodectes pinguis,Trichodectes pinguis,Trichodectes pinguis,1,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
,Arthropod,Androlaelaps,sp.,Androlaelaps sp.,Androlaelaps spp.,NA,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
,Arthropod,Acarinae,NA,Acarinae NA,Ascarinae sp.,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
,Arthropod,Androlaelaps,NA,Androlaelaps NA,Androlaelaps sp.,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
,Arthropod,Demodex,NA,Demodex NA,Demodex sp.,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
343,Arthropod,Nihelia,NA,Nihelia NA,Nihelia cynictus,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
349,Arthropod,Notoedres,NA,Notoedres NA,Notoedric mange,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
420,Arthropod,Sarcoptes,NA,Sarcoptes NA,Sarcoptic mange,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
437,Arthropod,Trichodectes,NA,Trichodectes NA,Trichodectes,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,americanum,Amblyomma americanum,Amblyomma americanum,Amblyomma americanum,1104,,5,G,1,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,astrion,Amblyomma astrion,Amblyomma cohaerens,Amblyomma astrion,1,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,aureolatum,Amblyomma aureolatum,Amblyomma aureolatum,Amblyomma aureolatum,37,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,auricularium,Amblyomma auricularium,Amblyomma auricularium,Amblyomma auricularium,12,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,brasiliense,Amblyomma brasiliense,amblyomma brasiliense,Amblyomma brasiliense,6,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,cajennense,Amblyomma cajennense,Amblyomma cajennense,Amblyomma cajennense,271,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,coelebs,Amblyomma coelebs,Amblyomma coelebs,Amblyomma coelebs,9,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,dubitatum,Amblyomma dubitatum,Amblyomma dubitatum,Amblyomma dubitatum,28,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,fuscum,Amblyomma fuscum,Amblyomma fuscum,Amblyomma fuscum,9,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,gemma,Amblyomma gemma,Amblyomma gemma,Amblyomma gemma,18,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,hebraeum,Amblyomma hebraeum,Amblyomma hebraeum,Amblyomma hebraeum,391,,5,G,1,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,maculatum,Amblyomma maculatum,Amblyomma maculatum,Amblyomma maculatum,153,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,marmoreum,Amblyomma marmoreum,Amblyomma marmoreum,Amblyomma marmoreum,43,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,oblongoguttatum,Amblyomma oblongoguttatum,Amblyomma oblongoguttatum,Amblyomma oblongoguttatum,10,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,ovale,Amblyomma ovale,Amblyomma ovale,Amblyomma ovale,44,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,parvum,Amblyomma parvum,Amblyomma parvum,Amblyomma parvum,31,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,rotundatum,Amblyomma rotundatum,amblyomma rotundatum,Amblyomma rotundatun,28,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,testudinarium,Amblyomma testudinarium,Amblyomma testudinarium,Amblyomma testudinarium,21,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,tholloni,Amblyomma tholloni,Amblyomma tholoni,Amblyomma tholloni,5,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,tigrinum,Amblyomma tigrinum,Amblyomma tigrinum,Amblyomma tigrinum,28,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,triste,Amblyomma triste,Amblyomma triste,Amblyomma triste,36,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,variegatum,Amblyomma variegatum,Amblyomma variegatum,Amblyomma variegatum,482,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Dermacentor,albipictus,Dermacentor albipictus,Demacentor albipictus,Dermacentor albipictus,96,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Dermacentor,andersoni,Dermacentor andersoni,Dermacentor andersoni,Dermacentor andersoni,398,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Dermacentor,nitens,Dermacentor nitens,Anocentor nitens,Dermacentor nitens,36,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Dermacentor,occidentalis,Dermacentor occidentalis,Dermacentor occidentalis,Dermacentor occidentalis,49,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Dermacentor,reticulatus,Dermacentor reticulatus,Dermacentor reticulatus,Dermacentor reticulatus,317,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Dermacentor,taiwanensis,Dermacentor taiwanensis,Dermacentor taiwanensis,Dermacentor taiwanensis,7,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Dermacentor,variabilis,Dermacentor variabilis,Demacentor variabilis,Dermacentor variabilis,776,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Dermacentor,variabilis,Dermacentor variabilis,Dermacentor variabilis,Dermacentor variailis,776,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
216,Arthropod,Haemaphysalis,asiatica,Haemaphysalis asiatica,Haemaphysalis asiatica,Haemaphysalis asiatica,1,,4,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
217,Arthropod,Haemaphysalis,concinna,Haemaphysalis concinna,Haemaphysalis concinna,Haemaphysalis concinna,69,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
218,Arthropod,Haemaphysalis,erinacei,Haemaphysalis erinacei,Haemaphysalis erinacei,Haemaphysalis erinacei,5,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
219,Arthropod,Haemaphysalis,flava,Haemaphysalis flava,Haemaphysalis flava,Haemaphysalis flava,27,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
221,Arthropod,Haemaphysalis,hystricis,Haemaphysalis hystricis,Haemaphysalis hystricis,Haemaphysalis hystricis,7,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
223,Arthropod,Haemaphysalis,japonica,Haemaphysalis japonica,Haemaphysalis japonica,Haemaphysalis japonica,9,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
224,Arthropod,Haemaphysalis,leachi,Haemaphysalis leachi,Haemaphysalis leachi,Haemaphysalis leachi,31,,5,G,1,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
226,Arthropod,Haemaphysalis,leporispalustris,Haemaphysalis leporispalustris,Haemaphysalis  leporispalustris,Haemaphysalis leporispalustris,78,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
227,Arthropod,Haemaphysalis,longicornis,Haemaphysalis longicornis,Haemaphysalis longicornis,Haemaphysalis longicornis,415,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
228,Arthropod,Haemaphysalis,megaspinosa,Haemaphysalis megaspinosa,Haemaphysalis megaspinosa,Haemaphysalis megaspinosa,7,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
229,Arthropod,Haemaphysalis,moreli,Haemaphysalis moreli,Haemaphysalis (Rhipistoma)  moreli,Haemaphysalis moreli,0,,5,G,6,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
232,Arthropod,Haemaphysalis,punctata,Haemaphysalis punctata,Haemaphysalis punctata,Haemaphysalis punctata,91,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
237,Arthropod,Haemaphysalis,semermis,Haemaphysalis semermis,Haemaphysalis semermis,Haemaphysalis semermis,1,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
238,Arthropod,Haemaphysalis,spinulosa,Haemaphysalis spinulosa,Haemaphysalis spinulosa,Haemaphysalis spinulosa,4,,4,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
239,Arthropod,Haemaphysalis,zumpti,Haemaphysalis zumpti,Haemaphysalis zumpti,Haemaphysalis zumpti,2,,4,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
245,Arthropod,Hyalomma,marginatum,Hyalomma marginatum,Hyalomma marginatum,Hyalomma marginatum,242,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
250,Arthropod,Ixodes,acuminatus,Ixodes acuminatus,Ixodes acuminatus,Ixodes acuminatus,10,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
251,Arthropod,Ixodes,affinis,Ixodes affinis,Ixodes affinis,Ixodes affinis,23,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
252,Arthropod,Ixodes,aragaoi,Ixodes aragaoi,Ixodes aragaoi,Ixodes aragaoi,2,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
253,Arthropod,Ixodes,banski,Ixodes banski,Ixodes banski,Ixodes banksi,0,,3,S,6,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
254,Arthropod,Ixodes,canisuga,Ixodes canisuga,Ixodes canisuga,Ixodes canisuga,15,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
255,Arthropod,Ixodes,cookei,Ixodes cookei,Ixodes cookei,Ixodes cookei,36,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
258,Arthropod,Ixodes,dentatus,Ixodes dentatus,Ixodes dentatus,Ixodes dentatus,29,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
259,Arthropod,Ixodes,granulatus,Ixodes granulatus,Ixodes granulatus,Ixodes granulatus,27,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
260,Arthropod,Ixodes,gregsoni,Ixodes gregsoni,Ixodes gregsoni,Ixodes gregsoni,0,,4,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
261,Arthropod,Ixodes,hexagonus,Ixodes hexagonus,Ixodes hexagonus,Ixodes hexagonus,64,,5,G,1,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
262,Arthropod,Ixodes,kingi,Ixodes kingi,Ixodes kingi,Ixodes kingi,7,,5,G,4,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
265,Arthropod,Ixodes,nipponensis,Ixodes nipponensis,Ixodes nipponensis,Ixodes nipponensis,17,,4,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
271,Arthropod,Ixodes,pacificus,Ixodes pacificus,Ixodes pacificus,Ixodes pacificus,240,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
272,Arthropod,Ixodes,persulcatus,Ixodes persulcatus,Ixodes persulcatus,Ixodes persulcatus,332,,5,G,2,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
267,Arthropod,Ixodes,ovatus,Ixodes ovatus,Ixodes ovatus,Ixodes ricinus,2699,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
274,Arthropod,Ixodes,rubicundus,Ixodes rubicundus,Ixodes rubicundus,Ixodes rubicundus,46,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
275,Arthropod,Ixodes,scapularis,Ixodes scapularis,Ixodes scapularis,Ixodes scapularis,2322,,5,G,2,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
276,Arthropod,Ixodes,sculptus,Ixodes sculptus,Ixodes sculptus,Ixodes sculptus,7,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
278,Arthropod,Ixodes,tanuki,Ixodes tanuki,Ixodes tanuki,Ixodes tanuki,5,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
279,Arthropod,Ixodes,texanus,Ixodes texanus,Ixodes texanus,Ixodes texanus,14,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
281,Arthropod,Ixodes,uriae,Ixodes uriae,Ixodes uriae,Ixodes uriae,112,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
282,Arthropod,Ixodes,ventalloi,Ixodes ventalloi,Ixodes (I.) ventalloi,Ixodes ventalloi,9,,5,G,3,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
389,Arthropod,Rhipicephalus,appendiculatus,Rhipicephalus appendiculatus,Rhipicephalus appendiculatus,Rhipicephalus appendiculatus,762,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
390,Arthropod,Rhipicephalus,compositus,Rhipicephalus compositus,Rhipicephalus compositus,Rhipicephalus compositus,1,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
391,Arthropod,Rhipicephalus,decoloratus,Rhipicephalus decoloratus,Rhipicephalus decoloratus,Rhipicephalus decoloratus,13,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
392,Arthropod,Rhipicephalus,evertsi,Rhipicephalus evertsi,Rhipicephalus evertsi,Rhipicephalus evertsi,181,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
393,Arthropod,Rhipicephalus,haemaphysaloides,Rhipicephalus haemaphysaloides,Rhipicephalus haemaphysaloides,Rhipicephalus haemaphysaloides,28,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
394,Arthropod,Rhipicephalus,microplus,Rhipicephalus microplus,Boophilus microplus,Rhipicephalus microplus,203,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
400,Arthropod,Rhipicephalus,praetextatus,Rhipicephalus praetextatus,Rhipicephalus praetextatus,Rhipicephalus praetextatus,9,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
401,Arthropod,Rhipicephalus,pulchellus,Rhipicephalus pulchellus,Rhipicephalus pulchellus,Rhipicephalus pulchellus,26,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
404,Arthropod,Rhipicephalus,pusillus,Rhipicephalus pusillus,Rhipicephalus pusillus,Rhipicephalus pusillus,10,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
407,Arthropod,Rhipicephalus,sanguineus,Rhipicephalus sanguineus,Rhipicephalus sanguineus,Rhipicephalus sanguineus,1085,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
409,Arthropod,Rhipicephalus,theileri,Rhipicephalus theileri,Rhipicephalus theileri,Rhipicephalus theileri,0,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
413,Arthropod,Rhipicephalus,turanicus,Rhipicephalus turanicus,Rhipicephalus turanicus,Rhipicephalus turanicus,93,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
440,Arthropod,Trombicula,autumnalis,Trombicula autumnalis,Trombicula autumnalis,Trombicula autumnalis,10,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,sp.,Amblyomma sp.,Amblyomma spp.,NA,,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Amblyomma,NA,Amblyomma NA,Amblyomma sp.,,,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Arthropod,Dermacentor,NA,Dermacentor NA,Dermacentor sp.,,,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
231,Arthropod,Haemaphysalis,NA,Haemaphysalis NA,Haemaphysalis sp.,,,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
246,Arthropod,Hyalomma,NA,Hyalomma NA,Hyalomma sp.,,,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
263,Arthropod,Ixodes,NA,Ixodes NA,Ixodes sp.,,,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
277,Arthropod,Ixodes,sp.,Ixodes sp.,Ixodes sp.,,,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
399,Arthropod,Rhipicephalus,NA,Rhipicephalus NA,Rhipicephalus sp.,,,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,,,2,,,,,,
,Bacteria,Aerococcus,viridans,Aerococcus viridans,Aerococcus viridans,Aerococcus viridans,217,,5,G,3,1,1,1,,,,1,,,,,,,,,2,,,,,,
,Bacteria,Aerococcus,sp.,Aerococcus sp.,Aerococcus spp.,NA,,,,,,1,1,1,,,,1,,,,,,,,,2,,,,,,
561,Bacteria,Aerococcus,NA,Aerococcus NA,Aerococcus sp.,,,,,,,1,1,1,,,,1,,,,,,,,,2,,,,,,
1512,Bacteria,Escherichia,coli,Escherichia coli,Escherichia coli,Escherichia coli,359027,,,,,0,1,0,0,0,0,1,0,0,0,1,0,0,Bailey & Scott's Diagnostic Microbiology,,2,,,,,,
,Bacteria,Helicobacter,mustelae,Helicobacter mustelae,Helicobacter mustelae,Helicobacter mustelae,130,,3,S,1,0,1,0,0,0,0,1,0,0,0,1,0,0,Helicobacter mustelae isolation from feces of ferrets: evidence to support fecal-oral transmission of a gastric Helicobacter.,,2,,,,,,
1497,Bacteria,Lawsonia,intracellularis,Lawsonia intracellularis,Lawsonia intracellularis,Lawsonia intracellularis,436,,,,,0,1,0,0,0,0,1,0,0,0,1,0,0,http://microbewiki.kenyon.edu/index.php/Lawsonia_intracellularis,,2,,,,,,
1511,Bacteria,Escherichia,NA,Escherichia NA,Escherichia sp.,,,,,,,0,1,0,0,0,0,1,0,0,0,1,0,0,Bailey & Scott's Diagnostic Microbiology,,2,,,,,,
1412,Bacteria,Shigella,NA,Shigella NA,Shigella sp.,,,,,,,0,1,0,0,0,0,1,0,0,0,1,0,0,Bailey & Scott's Diagnostic Microbiology,,2,,,,,,
,Bacteria,Corynebacterium,pyogenes,Corynebacterium pyogenes,Corynebacterium pyogenes,Arcanobacterium pyogenes,168,,5,G,3,1,0,1,0,0,1,0,0,0,0,0,0,0,http://www.life.umd.edu/classroom/bsci424/pathogendescriptions/Corynebacterium.htm; http://www.cdc.gov/diphtheria/about/causes-transmission.html,,2,,,,,,
99,Bacteria,corynebacterium,bovis,corynebacterium bovis,Corynebacterium bovis,Corynebacterium bovis,171,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,http://www.life.umd.edu/classroom/bsci424/pathogendescriptions/Corynebacterium.htm; http://www.cdc.gov/diphtheria/about/causes-transmission.html,,2,,,,,,
,Bacteria,Corynebacterium,phocae,Corynebacterium phocae,Corynebacterium phocae,Corynebacterium phocae,1,,1,S,4,1,0,1,0,0,1,0,0,0,0,0,0,0,http://www.life.umd.edu/classroom/bsci424/pathogendescriptions/Corynebacterium.htm; http://www.cdc.gov/diphtheria/about/causes-transmission.html,,2,,,,,,
